epoch,train_srcc,test_srcc,best_srcc,rl2
144,0.9579,0.7398,0.8398,0.5126
145,0.9571,0.7357,0.8398,0.6294
146,0.9611,0.7305,0.8398,0.5375
147,0.9617,0.7457,0.8398,0.6411
148,0.9585,0.7439,0.8398,0.5720
149,0.9556,0.7038,0.8398,0.5052
150,0.9597,0.7371,0.8398,0.4711
151,0.9574,0.7320,0.8398,0.6459
152,0.9598,0.7396,0.8398,0.5519
153,0.9589,0.7393,0.8398,0.6737
154,0.9653,0.7233,0.8398,0.4399
155,0.9617,0.7569,0.8398,0.5443
156,0.9615,0.7463,0.8398,0.6716
157,0.9563,0.7454,0.8398,0.4636
158,0.9597,0.7380,0.8398,0.4806
159,0.9651,0.7331,0.8398,0.5120
160,0.9620,0.7156,0.8398,0.4998
161,0.9617,0.7346,0.8398,0.4980
162,0.9639,0.7239,0.8398,0.4891
163,0.9617,0.7197,0.8398,0.4802
164,0.9638,0.7559,0.8398,0.5232
165,0.9642,0.7317,0.8398,0.5128
166,0.9640,0.7262,0.8398,0.4991
167,0.9599,0.7420,0.8398,0.5349
168,0.9644,0.7260,0.8398,0.4804
169,0.9620,0.7274,0.8398,0.4931
170,0.9649,0.7395,0.8398,0.5127
171,0.9614,0.7362,0.8398,0.5567
172,0.9626,0.7469,0.8398,0.5991
173,0.9622,0.7490,0.8398,0.6315
174,0.9627,0.7225,0.8398,0.5817
175,0.9611,0.7512,0.8398,0.5356
176,0.9648,0.7307,0.8398,0.5053
177,0.9614,0.7204,0.8398,0.4941
178,0.9662,0.7139,0.8398,0.5052
179,0.9608,0.7270,0.8398,0.4998
180,0.9647,0.7235,0.8398,0.4907
181,0.9619,0.7155,0.8398,0.5310
182,0.9666,0.7348,0.8398,0.5338
183,0.9653,0.7131,0.8398,0.5271
184,0.9636,0.7320,0.8398,0.5641
185,0.9688,0.7387,0.8398,0.5952
186,0.9598,0.7396,0.8398,0.6393
187,0.9602,0.7437,0.8398,0.5981
188,0.9642,0.7572,0.8398,0.6203
189,0.9642,0.7565,0.8398,0.5847
190,0.9578,0.7516,0.8398,0.5586
191,0.9615,0.7391,0.8398,0.5323
192,0.9622,0.7402,0.8398,0.5554
193,0.9588,0.7297,0.8398,0.5768
194,0.9644,0.7223,0.8398,0.5688
195,0.9686,0.7658,0.8398,0.5782
196,0.9652,0.7216,0.8398,0.5837
197,0.9661,0.7121,0.8398,0.5573
198,0.9601,0.7579,0.8398,0.5474
199,0.9605,0.7441,0.8398,0.5802
200,0.9650,0.7289,0.8398,0.6501
201,0.9654,0.7398,0.8398,0.6092
202,0.9674,0.7363,0.8398,0.6108
203,0.9677,0.7406,0.8398,0.5845
204,0.9596,0.7456,0.8398,0.5814
205,0.9634,0.7371,0.8398,0.5453
206,0.9604,0.7498,0.8398,0.5448
207,0.9660,0.7371,0.8398,0.5482
208,0.9633,0.7093,0.8398,0.5834
209,0.9660,0.7198,0.8398,0.6115
210,0.9664,0.7243,0.8398,0.5976
211,0.9645,0.7319,0.8398,0.6243
212,0.9573,0.7549,0.8398,0.6321
213,0.9595,0.7169,0.8398,0.5810
214,0.9619,0.7282,0.8398,0.5854
215,0.9638,0.7146,0.8398,0.5547
216,0.9641,0.7419,0.8398,0.5432
217,0.9676,0.7329,0.8398,0.5671
218,0.9635,0.7227,0.8398,0.6072
219,0.9649,0.7312,0.8398,0.6190
220,0.9589,0.7083,0.8398,0.6433
221,0.9626,0.7414,0.8398,0.6439
222,0.9677,0.7321,0.8398,0.6025
223,0.9663,0.7518,0.8398,0.6387
224,0.9640,0.7155,0.8398,0.5724
225,0.9665,0.6990,0.8398,0.5955
226,0.9658,0.7220,0.8398,0.5884
227,0.9652,0.7314,0.8398,0.6161
228,0.9691,0.7075,0.8398,0.5938
229,0.9659,0.7059,0.8398,0.5682
230,0.9701,0.7259,0.8398,0.6478
231,0.9635,0.7239,0.8398,0.6321
232,0.9656,0.7472,0.8398,0.6776
233,0.9627,0.7294,0.8398,0.6448
