------------------------------EXP1------------------------------

===========================================================================
  Dataset: fisv  |  Label: TES  |  Seed: 999
  Backbone: vivit  |  Neck: TQN  |  Layers: 2  |  Query Var: 2  |  PE: query_pe
  Att Loss: True  |  Dino Loss: True  |  Epochs: 1000  |  LR: 5e-05  |  Batch: 32
===========================================================================
Epoch  |  Train SRCC  |  Test SRCC  |  Best SRCC  |        RL2  | Note
   81  |      0.7808  |     0.6503  |     0.6837  |     2.6457  | 
   82  |      0.7831  |     0.6519  |     0.6837  |     2.6055  | 
   83  |      0.7793  |     0.6446  |     0.6837  |     2.5937  | 
   84  |      0.7779  |     0.6538  |     0.6837  |     2.6180  | 
   85  |      0.7790  |     0.6501  |     0.6837  |     2.5838  | 
   86  |      0.7815  |     0.6838  |     0.6838  |     2.6267  | бя NEW BEST
   87  |      0.7834  |     0.6544  |     0.6838  |     2.6064  | 
   88  |      0.7775  |     0.6468  |     0.6838  |     2.6210  | 
   89  |      0.7819  |     0.6805  |     0.6838  |     2.6378  | 
   90  |      0.7822  |     0.6835  |     0.6838  |     2.7263  | 
   91  |      0.7864  |     0.6504  |     0.6838  |     2.6398  | 
   92  |      0.7877  |     0.6526  |     0.6838  |     2.6236  | 
   93  |      0.7889  |     0.6553  |     0.6838  |     2.6254  | 
   94  |      0.7955  |     0.6742  |     0.6838  |     2.6334  | 
   95  |      0.7804  |     0.6527  |     0.6838  |     2.6423  | 
   96  |      0.7750  |     0.6532  |     0.6838  |     2.6330  | 
   97  |      0.7757  |     0.6817  |     0.6838  |     2.6575  | 
   98  |      0.7867  |     0.6802  |     0.6838  |     2.6596  | 
   99  |      0.7827  |     0.6543  |     0.6838  |     2.6416  | 
  100  |      0.7818  |     0.6790  |     0.6838  |     2.6854  | 
  101  |      0.7809  |     0.6509  |     0.6838  |     2.6553  | 
  102  |      0.7848  |     0.6533  |     0.6838  |     2.6517  | 
  103  |      0.7940  |     0.6539  |     0.6838  |     2.6543  | 
  104  |      0.7847  |     0.6773  |     0.6838  |     2.6895  | 
  105  |      0.7883  |     0.6521  |     0.6838  |     2.6535  | 
  106  |      0.7871  |     0.6558  |     0.6838  |     2.6475  | 
  107  |      0.7742  |     0.6542  |     0.6838  |     2.6290  | 
  108  |      0.7871  |     0.6495  |     0.6838  |     2.6345  | 
  109  |      0.7831  |     0.6496  |     0.6838  |     2.6319  | 
  110  |      0.7890  |     0.6807  |     0.6838  |     2.6604  | 
  111  |      0.7858  |     0.6922  |     0.6922  |     2.6603  | бя NEW BEST
  112  |      0.7914  |     0.6504  |     0.6922  |     2.6560  | 
  113  |      0.7859  |     0.6797  |     0.6922  |     2.6677  | 
  114  |      0.7830  |     0.6628  |     0.6922  |     2.6498  | 
  115  |      0.7808  |     0.6793  |     0.6922  |     2.6633  | 
  116  |      0.7870  |     0.6504  |     0.6922  |     2.6422  | 
  117  |      0.7812  |     0.6765  |     0.6922  |     2.6711  | 
  118  |      0.7922  |     0.6508  |     0.6922  |     2.6533  | 
  119  |      0.7794  |     0.6745  |     0.6922  |     2.6822  | 
  120  |      0.7756  |     0.6542  |     0.6922  |     2.6442  | 
  121  |      0.7931  |     0.6668  |     0.6922  |     2.6411  | 
  122  |      0.7819  |     0.6537  |     0.6922  |     2.6395  | 
  123  |      0.7919  |     0.6430  |     0.6922  |     2.6466  | 
  124  |      0.7820  |     0.6841  |     0.6922  |     2.6701  | 
  125  |      0.7756  |     0.6512  |     0.6922  |     2.6429  | 
  126  |      0.7868  |     0.6466  |     0.6922  |     2.6431  | 
  127  |      0.7769  |     0.6471  |     0.6922  |     2.6540  | 
  128  |      0.7857  |     0.6810  |     0.6922  |     2.6567  | 
  129  |      0.7819  |     0.6564  |     0.6922  |     2.6391  | 
  130  |      0.7907  |     0.6513  |     0.6922  |     2.6467  | 
  131  |      0.7875  |     0.6497  |     0.6922  |     2.6500  | 
  132  |      0.7867  |     0.6771  |     0.6922  |     2.6697  | 
  133  |      0.7860  |     0.6531  |     0.6922  |     2.6423  | 
  134  |      0.7852  |     0.6503  |     0.6922  |     2.6398  | 
  135  |      0.7942  |     0.6538  |     0.6922  |     2.6332  | 
  136  |      0.7862  |     0.6799  |     0.6922  |     2.6536  | 
  137  |      0.7790  |     0.6801  |     0.6922  |     2.6616  | 
  138  |      0.7900  |     0.6781  |     0.6922  |     2.6684  | 
  139  |      0.7803  |     0.6539  |     0.6922  |     2.6372  | 
  140  |      0.7891  |     0.6826  |     0.6922  |     2.6574  | 
  141  |      0.7883  |     0.6760  |     0.6922  |     2.6787  | 
  142  |      0.7830  |     0.6572  |     0.6922  |     2.6356  | 
  143  |      0.7807  |     0.6735  |     0.6922  |     2.6731  | 
  144  |      0.7831  |     0.6826  |     0.6922  |     2.6662  | 
  145  |      0.7907  |     0.6496  |     0.6922  |     2.6355  | 
  146  |      0.7750  |     0.6840  |     0.6922  |     2.6721  | 
  147  |      0.7857  |     0.6795  |     0.6922  |     2.6529  | 
  148  |      0.7932  |     0.6481  |     0.6922  |     2.6545  | 
  149  |      0.7836  |     0.6779  |     0.6922  |     2.6740  | 
  150  |      0.7882  |     0.6774  |     0.6922  |     2.6620  | 
  151  |      0.7945  |     0.6838  |     0.6922  |     2.6663  | 
  152  |      0.7755  |     0.6806  |     0.6922  |     2.6641  | 
  153  |      0.7825  |     0.6468  |     0.6922  |     2.6431  | 
  154  |      0.7896  |     0.6520  |     0.6922  |     2.6449  | 
  155  |      0.7841  |     0.6524  |     0.6922  |     2.6388  | 
  156  |      0.7838  |     0.6481  |     0.6922  |     2.6373  | 
  157  |      0.7915  |     0.6925  |     0.6925  |     2.6617  | бя NEW BEST
  158  |      0.7803  |     0.6915  |     0.6925  |     2.6560  | 
  159  |      0.7866  |     0.6465  |     0.6925  |     2.6389  | 
  160  |      0.7760  |     0.6778  |     0.6925  |     2.6608  | 
  161  |      0.7890  |     0.6404  |     0.6925  |     2.6423  | 
  162  |      0.7829  |     0.6513  |     0.6925  |     2.6413  | 
  163  |      0.7768  |     0.6825  |     0.6925  |     2.6568  | 
  164  |      0.7861  |     0.6509  |     0.6925  |     2.6365  | 
  165  |      0.7821  |     0.6500  |     0.6925  |     2.6451  | 
  166  |      0.7801  |     0.6805  |     0.6925  |     2.6678  | 
  167  |      0.7877  |     0.6533  |     0.6925  |     2.6432  | 
  168  |      0.7875  |     0.6769  |     0.6925  |     2.6707  | 
  169  |      0.7752  |     0.6748  |     0.6925  |     2.6724  | 
  170  |      0.7936  |     0.6505  |     0.6925  |     2.6418  | 
  171  |      0.7884  |     0.6497  |     0.6925  |     2.6470  | 
  172  |      0.7879  |     0.6557  |     0.6925  |     2.6429  | 
  173  |      0.7822  |     0.6449  |     0.6925  |     2.6310  | 
  174  |      0.7723  |     0.6780  |     0.6925  |     2.6669  | 
  175  |      0.7804  |     0.6518  |     0.6925  |     2.6441  | 
  176  |      0.7774  |     0.6577  |     0.6925  |     2.6343  | 
  177  |      0.7857  |     0.6798  |     0.6925  |     2.6577  | 
  178  |      0.7880  |     0.6840  |     0.6925  |     2.6828  | 
  179  |      0.7828  |     0.6821  |     0.6925  |     2.6534  | 
  180  |      0.7791  |     0.6591  |     0.6925  |     2.6384  | 
  181  |      0.7852  |     0.6492  |     0.6925  |     2.6374  | 
  182  |      0.7873  |     0.6470  |     0.6925  |     2.6310  | 
  183  |      0.7876  |     0.6488  |     0.6925  |     2.6336  | 
