epoch,train_srcc,test_srcc,best_srcc,rl2
0,-0.0326,0.1336,0.1336,0.0409
1,0.1133,0.2554,0.2554,0.0389
2,0.1076,0.2383,0.2554,0.0860
3,0.3703,0.4241,0.4241,0.1461
4,0.4492,0.4579,0.4579,0.0998
5,0.2601,0.4172,0.4579,0.0438
6,0.4884,0.4835,0.4835,0.2280
7,0.5063,0.5196,0.5196,0.2074
8,0.5339,0.5739,0.5739,0.1260
9,0.5134,0.6378,0.6378,0.1175
10,0.5035,0.6852,0.6852,0.7650
11,0.6362,0.6555,0.6852,0.1961
12,0.6392,0.6991,0.6991,0.5261
13,0.6906,0.7009,0.7009,0.3553
14,0.7152,0.6839,0.7009,0.6752
15,0.6904,0.6794,0.7009,0.5805
16,0.7594,0.7126,0.7126,0.4033
17,0.6565,0.6969,0.7126,0.1843
18,0.7632,0.7185,0.7185,0.2597
19,0.7271,0.7080,0.7185,0.4607
20,0.7383,0.7190,0.7190,0.2653
21,0.7289,0.7056,0.7190,0.2092
22,0.7281,0.7105,0.7190,0.1558
23,0.7563,0.7284,0.7284,0.1739
24,0.8120,0.7375,0.7375,0.9154
25,0.7799,0.6744,0.7375,0.7078
26,0.7827,0.6873,0.7375,0.3371
27,0.8334,0.7493,0.7493,0.9397
28,0.7160,0.7358,0.7493,0.1376
29,0.6850,0.6910,0.7493,0.0785
30,0.8343,0.7562,0.7562,0.4252
31,0.8129,0.7657,0.7657,0.2763
32,0.8032,0.6903,0.7657,0.3372
33,0.8046,0.7238,0.7657,0.4179
34,0.7339,0.7266,0.7657,0.1384
35,0.8675,0.7515,0.7657,0.5275
36,0.8639,0.7449,0.7657,0.5307
37,0.8786,0.6969,0.7657,0.2702
38,0.8892,0.7048,0.7657,0.6426
39,0.7626,0.7411,0.7657,0.4125
40,0.7758,0.7554,0.7657,0.1069
41,0.7399,0.6879,0.7657,0.4684
42,0.7933,0.7574,0.7657,0.2938
43,0.8705,0.7531,0.7657,0.2876
44,0.8706,0.7509,0.7657,0.2715
45,0.9086,0.7529,0.7657,0.2730
46,0.9149,0.7454,0.7657,0.3644
47,0.9147,0.7550,0.7657,0.4328
48,0.9164,0.7567,0.7657,0.5252
49,0.9167,0.7552,0.7657,0.5983
50,0.9185,0.7514,0.7657,0.6128
51,0.9209,0.7506,0.7657,0.5152
52,0.9224,0.7513,0.7657,0.5303
53,0.9245,0.7513,0.7657,0.4777
54,0.9252,0.7472,0.7657,0.5235
55,0.9243,0.7528,0.7657,0.4882
56,0.9227,0.7477,0.7657,0.5037
57,0.9222,0.7422,0.7657,0.5509
58,0.9263,0.7470,0.7657,0.5166
59,0.9263,0.7390,0.7657,0.5731
60,0.9258,0.7536,0.7657,0.5010
61,0.9242,0.7503,0.7657,0.5937
62,0.9255,0.7504,0.7657,0.6247
63,0.9288,0.7521,0.7657,0.6202
64,0.9283,0.7572,0.7657,0.5811
65,0.9278,0.7533,0.7657,0.5343
66,0.9317,0.7562,0.7657,0.4934
67,0.9277,0.7403,0.7657,0.5504
68,0.9241,0.7498,0.7657,0.5279
69,0.9339,0.7551,0.7657,0.5535
70,0.9301,0.7541,0.7657,0.6428
71,0.9326,0.7506,0.7657,0.5974
72,0.9339,0.7533,0.7657,0.5897
73,0.9303,0.7484,0.7657,0.6187
74,0.9343,0.7528,0.7657,0.4531
75,0.9312,0.7351,0.7657,0.5270
76,0.9268,0.7388,0.7657,0.4355
77,0.9303,0.7322,0.7657,0.4379
78,0.9391,0.7148,0.7657,0.5397
79,0.9349,0.7385,0.7657,0.4096
80,0.9272,0.7355,0.7657,0.5555
81,0.9335,0.7521,0.7657,0.4475
