------------------------------EXP1------------------------------

===========================================================================
  Dataset: fisv  |  Label: PCS  |  Seed: 333
  Backbone: vivit  |  Neck: TQN  |  Layers: 2  |  Query Var: 2  |  PE: query_pe
  Att Loss: True  |  Dino Loss: True  |  Epochs: 1000  |  LR: 0.0001  |  Batch: 48
===========================================================================
Epoch  |  Train SRCC  |  Test SRCC  |  Best SRCC  |        RL2  | Note
-------+-------------+------------+------------+------------+--------------------
    0  |      0.0906  |     0.1759  |     0.1759  |     0.2477  | бя NEW BEST
    1  |      0.0641  |     0.3442  |     0.3442  |     0.0938  | бя NEW BEST
    2  |     -0.0066  |     0.3574  |     0.3574  |     0.0360  | бя NEW BEST
    3  |      0.1973  |     0.4040  |     0.4040  |     0.0343  | бя NEW BEST
    4  |      0.2815  |     0.4671  |     0.4671  |     0.0399  | бя NEW BEST
    5  |      0.2915  |     0.4913  |     0.4913  |     0.0464  | бя NEW BEST
    6  |      0.3972  |     0.5337  |     0.5337  |     0.0638  | бя NEW BEST
    7  |      0.3334  |     0.5547  |     0.5547  |     0.0943  | бя NEW BEST
    8  |      0.5507  |     0.5712  |     0.5712  |     0.4499  | бя NEW BEST
    9  |      0.5324  |     0.6363  |     0.6363  |     0.3869  | бя NEW BEST
   10  |      0.5417  |     0.6751  |     0.6751  |     0.1566  | бя NEW BEST
   11  |      0.5800  |     0.6639  |     0.6751  |     0.3340  | 
   12  |      0.6399  |     0.7000  |     0.7000  |     0.9404  | бя NEW BEST
   13  |      0.6524  |     0.7179  |     0.7179  |     0.7496  | бя NEW BEST
   14  |      0.7054  |     0.7248  |     0.7248  |     0.5884  | бя NEW BEST
   15  |      0.6945  |     0.7186  |     0.7248  |     0.5114  | 
   16  |      0.6473  |     0.6915  |     0.7248  |     0.9070  | 
   17  |      0.7354  |     0.7146  |     0.7248  |     0.3773  | 
   18  |      0.6515  |     0.7318  |     0.7318  |     0.1833  | бя NEW BEST
   19  |      0.7054  |     0.7066  |     0.7318  |     0.6954  | 
   20  |      0.7661  |     0.7438  |     0.7438  |     0.7507  | бя NEW BEST
   21  |      0.7336  |     0.7322  |     0.7438  |     1.1650  | 
   22  |      0.7486  |     0.7404  |     0.7438  |     0.2854  | 
