------------------------------EXP1------------------------------

===========================================================================
  Dataset: fisv  |  Label: PCS  |  Seed: 333
  Backbone: vivit  |  Neck: TQN  |  Layers: 2  |  Query Var: 2  |  PE: query_pe
  Att Loss: True  |  Dino Loss: True  |  Epochs: 1000  |  LR: 0.0001  |  Batch: 48
===========================================================================
Epoch  |  Train SRCC  |  Test SRCC  |  Best SRCC  |        RL2  | Note
   23  |      0.7439  |     0.7306  |     0.7438  |     0.6324  | 
   24  |      0.8187  |     0.7206  |     0.7438  |     1.4990  | 
   25  |      0.7959  |     0.7532  |     0.7532  |     0.5669  | бя NEW BEST
   26  |      0.8019  |     0.7510  |     0.7532  |     0.7551  | 
   27  |      0.8355  |     0.7616  |     0.7616  |     0.4792  | бя NEW BEST
   28  |      0.7343  |     0.7227  |     0.7616  |     0.2129  | 
   29  |      0.7741  |     0.6802  |     0.7616  |     1.0452  | 
   30  |      0.7545  |     0.7235  |     0.7616  |     0.8411  | 
   31  |      0.8463  |     0.7449  |     0.7616  |     0.8629  | 
   32  |      0.8190  |     0.7651  |     0.7651  |     0.2183  | бя NEW BEST
   33  |      0.7083  |     0.7464  |     0.7651  |     0.1414  | 
   34  |      0.7948  |     0.7537  |     0.7651  |     0.6761  | 
   35  |      0.8357  |     0.7489  |     0.7651  |     0.7710  | 
   36  |      0.8538  |     0.7363  |     0.7651  |     1.2395  | 
   37  |      0.8747  |     0.7681  |     0.7681  |     0.4879  | бя NEW BEST
   38  |      0.8536  |     0.7792  |     0.7792  |     0.2711  | бя NEW BEST
   39  |      0.8570  |     0.7831  |     0.7831  |     0.1643  | бя NEW BEST
   40  |      0.7545  |     0.7766  |     0.7831  |     0.1264  | 
   41  |      0.7737  |     0.6694  |     0.7831  |     0.6691  | 
   42  |      0.7951  |     0.7391  |     0.7831  |     0.4767  | 
   43  |      0.8552  |     0.7473  |     0.7831  |     0.2386  | 
   44  |      0.9011  |     0.7463  |     0.7831  |     0.3368  | 
   45  |      0.9059  |     0.7564  |     0.7831  |     0.3350  | 
   46  |      0.9092  |     0.7512  |     0.7831  |     0.4423  | 
   47  |      0.9065  |     0.7659  |     0.7831  |     0.4334  | 
   48  |      0.9110  |     0.7629  |     0.7831  |     0.4532  | 
   49  |      0.9161  |     0.7580  |     0.7831  |     0.4955  | 
   50  |      0.9107  |     0.7671  |     0.7831  |     0.4400  | 
   51  |      0.9140  |     0.7613  |     0.7831  |     0.4940  | 
   52  |      0.9176  |     0.7743  |     0.7831  |     0.4820  | 
   53  |      0.9172  |     0.7615  |     0.7831  |     0.5328  | 
   54  |      0.9202  |     0.7639  |     0.7831  |     0.5183  | 
   55  |      0.9191  |     0.7620  |     0.7831  |     0.4654  | 
   56  |      0.9198  |     0.7604  |     0.7831  |     0.4945  | 
   57  |      0.9255  |     0.7514  |     0.7831  |     0.5560  | 
   58  |      0.9190  |     0.7563  |     0.7831  |     0.5688  | 
   59  |      0.9241  |     0.7688  |     0.7831  |     0.5015  | 
   60  |      0.9282  |     0.7537  |     0.7831  |     0.6287  | 
   61  |      0.9210  |     0.7685  |     0.7831  |     0.4218  | 
   62  |      0.9243  |     0.7675  |     0.7831  |     0.4099  | 
   63  |      0.9229  |     0.7620  |     0.7831  |     0.4621  | 
   64  |      0.9253  |     0.7627  |     0.7831  |     0.4049  | 
   65  |      0.9247  |     0.7449  |     0.7831  |     0.6333  | 
   66  |      0.9190  |     0.7674  |     0.7831  |     0.5091  | 
   67  |      0.9217  |     0.7655  |     0.7831  |     0.5535  | 
   68  |      0.9274  |     0.7483  |     0.7831  |     0.5398  | 
   69  |      0.9296  |     0.7437  |     0.7831  |     0.5474  | 
   70  |      0.9260  |     0.7760  |     0.7831  |     0.5080  | 
   71  |      0.9183  |     0.7656  |     0.7831  |     0.6955  | 
   72  |      0.9294  |     0.7628  |     0.7831  |     0.7175  | 
   73  |      0.9205  |     0.7691  |     0.7831  |     0.5391  | 
   74  |      0.9307  |     0.7544  |     0.7831  |     0.6215  | 
   75  |      0.9314  |     0.7577  |     0.7831  |     0.5261  | 
   76  |      0.9356  |     0.7523  |     0.7831  |     0.5728  | 
   77  |      0.9292  |     0.7637  |     0.7831  |     0.6474  | 
   78  |      0.9309  |     0.7650  |     0.7831  |     0.6991  | 
   79  |      0.9338  |     0.7577  |     0.7831  |     0.6492  | 
   80  |      0.9302  |     0.7320  |     0.7831  |     0.7739  | 
   81  |      0.9351  |     0.7431  |     0.7831  |     0.5728  | 
   82  |      0.9390  |     0.7464  |     0.7831  |     0.6705  | 
   83  |      0.9351  |     0.7543  |     0.7831  |     0.6429  | 
   84  |      0.9304  |     0.7536  |     0.7831  |     0.6948  | 
   85  |      0.9339  |     0.7616  |     0.7831  |     0.5595  | 
   86  |      0.9348  |     0.7366  |     0.7831  |     0.7157  | 
   87  |      0.9309  |     0.7596  |     0.7831  |     0.6162  | 
   88  |      0.9340  |     0.7701  |     0.7831  |     0.6761  | 
   89  |      0.9380  |     0.7667  |     0.7831  |     0.7439  | 

Early stopping: no improvement for 50 epochs.

===========================================================================
  Training early stopped!
  Dataset: fisv  Label: PCS  Seed: 333
  Best SRCC: 0.7831  |  Best RL2: 0.1643  |  Best Epoch: 39
  Config: query_var=2  pe=query_pe  att_loss=True  dino_loss=True  layers=2
===========================================================================

Experiment record б· exp/0522_2323_fisv_PCS.log
