epoch,train_srcc,test_srcc,best_srcc,rl2
0,-0.0064,-0.0134,0.0000,0.0737
1,-0.0083,0.4003,0.4003,0.7917
2,0.1720,0.4186,0.4186,0.7062
3,0.4419,0.4505,0.4505,1.0087
4,0.3832,0.4613,0.4613,1.6318
5,0.2522,0.4830,0.4830,1.0160
6,0.3344,0.5324,0.5324,0.5045
7,0.4231,0.5764,0.5764,0.6403
8,0.5334,0.5747,0.5764,0.9128
9,0.5331,0.6190,0.6190,1.6272
10,0.5472,0.6393,0.6393,0.7735
11,0.6149,0.6607,0.6607,0.4998
12,0.6052,0.6790,0.6790,1.2264
13,0.6007,0.6860,0.6860,2.1663
14,0.5665,0.7029,0.7029,1.6452
15,0.5760,0.7008,0.7029,1.9228
16,0.6478,0.7078,0.7078,1.9203
17,0.6925,0.7209,0.7209,2.2309
18,0.7309,0.7388,0.7388,1.7968
19,0.7523,0.7256,0.7388,1.7957
20,0.7439,0.7288,0.7388,2.1577
21,0.7139,0.7392,0.7392,1.0290
22,0.7430,0.7589,0.7589,2.5415
23,0.7377,0.7800,0.7800,3.1965
24,0.7602,0.7754,0.7800,1.9264
25,0.7875,0.7921,0.7921,2.0426
26,0.8160,0.7646,0.7921,1.9011
27,0.7926,0.7614,0.7921,2.5300
28,0.7797,0.7876,0.7921,2.4932
29,0.7795,0.7787,0.7921,0.9251
30,0.8079,0.8015,0.8015,2.1947
31,0.8334,0.7964,0.8015,1.8076
32,0.8653,0.7968,0.8015,1.3599
33,0.8528,0.7960,0.8015,1.8695
34,0.8585,0.7967,0.8015,2.2085
35,0.8492,0.7976,0.8015,2.0644
36,0.8553,0.7957,0.8015,1.5929
37,0.8566,0.7859,0.8015,2.1174
38,0.8716,0.7904,0.8015,1.9864
39,0.8672,0.7908,0.8015,2.1338
40,0.8700,0.7934,0.8015,2.0292
41,0.8742,0.7904,0.8015,2.0105
42,0.8664,0.7889,0.8015,1.9489
43,0.8762,0.7914,0.8015,2.4693
44,0.8549,0.7912,0.8015,2.7906
45,0.8564,0.8030,0.8030,2.1082
46,0.8542,0.7966,0.8030,1.5751
47,0.8614,0.7991,0.8030,1.7575
48,0.8640,0.7895,0.8030,1.8248
49,0.8716,0.7889,0.8030,2.2703
50,0.8782,0.7940,0.8030,2.4590
51,0.8788,0.7941,0.8030,2.1063
52,0.8802,0.7903,0.8030,2.5685
53,0.8813,0.7959,0.8030,2.0784
54,0.8773,0.7864,0.8030,2.4620
55,0.8801,0.7937,0.8030,2.3987
56,0.8805,0.7964,0.8030,2.1168
57,0.8801,0.7959,0.8030,1.9934
58,0.8795,0.7943,0.8030,1.8928
59,0.8804,0.7957,0.8030,1.9801
60,0.8671,0.7926,0.8030,2.5798
61,0.8801,0.7917,0.8030,2.0765
62,0.8782,0.7969,0.8030,2.3242
63,0.8907,0.7910,0.8030,2.3138
64,0.8872,0.7931,0.8030,2.2296
65,0.8851,0.7877,0.8030,2.3407
66,0.8811,0.7950,0.8030,2.2322
67,0.8897,0.7907,0.8030,2.1714
68,0.8885,0.7927,0.8030,2.2913
69,0.8918,0.7918,0.8030,2.3240
70,0.8925,0.7972,0.8030,2.2812
71,0.8887,0.7904,0.8030,2.3221
72,0.8899,0.7941,0.8030,2.2601
73,0.8865,0.7959,0.8030,2.3684
74,0.8928,0.7991,0.8030,2.3410
75,0.8919,0.7931,0.8030,2.2956
76,0.8877,0.7895,0.8030,2.4018
77,0.8895,0.7893,0.8030,2.2341
78,0.8915,0.7920,0.8030,2.2245
79,0.8906,0.7893,0.8030,2.5085
80,0.8923,0.7939,0.8030,2.3290
81,0.8914,0.7928,0.8030,2.3199
82,0.8913,0.7915,0.8030,2.3876
83,0.8916,0.7968,0.8030,2.3149
84,0.8894,0.7917,0.8030,2.3599
85,0.8914,0.7936,0.8030,2.3406
86,0.8828,0.7938,0.8030,2.1612
87,0.8954,0.7934,0.8030,2.2854
88,0.8890,0.7931,0.8030,2.3016
89,0.8877,0.7933,0.8030,2.3072
90,0.8878,0.7949,0.8030,2.4320
91,0.8926,0.7957,0.8030,2.4756
92,0.8897,0.7915,0.8030,2.3728
93,0.8876,0.7945,0.8030,2.3682
94,0.8876,0.7930,0.8030,2.3617
95,0.8942,0.7989,0.8030,2.3635
